flight_number,departure_airport,arrival_airport,departure_date,arrival_date,departure_time,arrival_time,airline,flight_duration,passenger_count,ticket_price,cabin_class,flight_status,aircraft_type,pilot_name,co_pilot_name
7206,FSN,POR,2/28/2022,7/11/2022,5:17 PM,11:27 PM,United,1.71,70,58.63,First,Cancelled,Airbus A320,Kirby Najera,Kippie Mixer
9472,AIF,SGA,5/25/2022,4/2/2022,5:42 PM,3:38 AM,Delta,5.53,423,695.36,Business,Cancelled,Boeing 737,Samuel Troyes,Haley Colvine
1757,NSI,DIN,3/8/2022,12/15/2022,5:26 PM,6:00 PM,United,5.8,350,699.51,First,On Time,Airbus A320,Hana Castiglio,Erinn Adamik
9944,PYA,LFB,5/21/2022,10/31/2022,3:29 PM,9:11 PM,American,5.35,31,397.78,First,Cancelled,Airbus A320,Raynell Raylton,Rudd Mulvin
3973,BNQ,TAX,1/9/2022,11/30/2022,5:23 AM,3:12 PM,Delta,3.68,350,573.51,First,On Time,Boeing 787,Alwyn Whittuck,Amandie Wilmington
3303,AHC,LBA,12/7/2022,3/8/2022,11:52 AM,9:34 PM,United,3.93,37,287.41,First,Cancelled,Airbus A320,Aharon Medling,Hakim Curling
3003,RDM,QSR,3/21/2022,11/8/2022,2:12 PM,7:18 AM,American,1.74,81,688.69,Business,On Time,Boeing 737,Aimee Milton,Brant Gilffillan
1360,ARI,UAE,1/17/2022,6/20/2022,6:27 PM,11:00 AM,Delta,5.75,199,149.27,First,On Time,Airbus A320,Valerie Siggins,Morie Bartelot
6407,SRN,CEZ,1/20/2022,6/7/2022,6:29 AM,2:30 PM,United,3.76,289,646.31,First,Delayed,Boeing 787,Billie Raymond,Virginie Hamberstone
1841,KEZ,RAQ,11/18/2022,6/23/2022,7:37 AM,2:30 AM,American,6.6,417,525.82,Economy,On Time,Boeing 737,Shirline Charlet,Noelani Vanelli
